id,CUI,from,to,value
d61.u586,C0700287,51,57,gemeld
d61.u586,C0700287,68,77,meldingen
d61.u586,C0015230,82,89,uitslag
d61.u586,C0033774,158,162,jeuk
d61.u586,C0549386,164,181,gevoel van warmte
d61.u586,C0013404,186,206,ademhalingsproblemen
d179.u31,C0008972,39,46,studies
d179.u31,C0018270,87,92,groei
d179.u31,C0087111,122,133,behandeling
d354.u223,C0032285,0,14,Longontsteking
d354.u223,C0149725,17,50,infectie van de lagere luchtwegen
d354.u223,C0019360,52,62,Gordelroos
d354.u223,C0019348,64,78,Herpes Simplex
d354.u223,C0042029,80,96,urineweginfectie
d354.u223,C0041912,98,133,infectie van de bovenste luchtwegen
d354.u223,C0037199,135,144,sinusitis
d354.u223,C0006849,146,163,orale candidiasis
d354.u223,C0877048,165,187,orale schimmelinfectie
d354.u602,C0031831,3,7,arts
d354.u602,C1135145,21,29,Revlimid
d354.u602,C0087111,46,57,behandeling
d354.u602,C0018941,103,114,bloedtesten
d354.u602,C1142435,134,151,algemene toestand
d354.u602,C1135145,194,202,Revlimid
d321.u167,C0021027,12,27,immunoglobuline
d321.u167,C0021440,33,56,intraveneuze toediening
d321.u167,C0559546,65,77,bijwerkingen
d321.u167,C0085593,84,93,rillingen
d321.u167,C0018681,95,104,hoofdpijn
d321.u167,C0015967|C0424755,106,112,koorts
d321.u167,C0042963,114,120,braken
d321.u167,C1527304|C0020517,122,142,allergische reacties
d321.u167,C0027497,144,157,misselijkheid
d321.u167,C0003862,159,172,gewrichtspijn
d321.u167,C0020649,174,188,lage bloeddruk
d321.u167,C0024031,199,211,lage rugpijn
d409.u75,C1273643,5,23,filmomhulde tablet
d409.u75,C0252643,38,46,bosentan
d868.u64,C0052976,12,27,bariumhydroxide
d868.u64,C0044729,68,80,Verbinding A
d868.u64,C0074716,105,114,soda kalk
d868.u64,C0052976,12,27,bariumhydroxide
d868.u64,C0044729,68,80,Verbinding A
d868.u64,C0074716,105,114,soda kalk
d227.u82,C0021641|C1579433,17,26,insulines
d227.u82,C0001792|C1999167,37,43,oudere
d227.u82,C0030705,44,53,patiënten
d227.u82,C0030705,57,66,patiënten
d227.u82,C0341697,71,75,nier
d227.u82,C0948807,80,99,leverinsufficiëntie
d227.u82,C0202048,103,120,glucosemonitoring
d227.u82,C0537270,162,178,insuline detemir
d227.u82,C0237401|C0027361,203,214,individuele
d227.u556,C1314782,0,7,Levemir
d227.u556,C1314782,0,7,Levemir
d18.u23,C0008972,53,60,studies
d110.u11,C1532338,0,31,Percutane coronaire interventie
d110.u11,C0543467,39,47,operatie
d110.u11,C0242231,70,94,vernauwde kransslagaders
d110.u11,C0005847|C1283786,96,106,bloedvaten
d110.u11,C0018787|C1281570,114,118,hart
d100.u191,C0031327,3,18,farmacokinetiek
d100.u191,C0389169,23,32,doripenem
d100.u191,C0021440,92,114,intraveneus toegediend
d347.u117,C0008972,4,10,studie
d347.u117,C1997894|C0020155,25,38,vrijwilligers
d347.u117,C0020651,46,71,orthostatische hypotensie
d347.u117,C2317227,117,154,toegediend als een intraveneuze bolus
d794.u59,C0007452,0,8,Runderen
d794.u59,C1123019|C0036945,10,17,Schapen
d6.u174,C1579433|C0021641,0,8,Insuline
d6.u174,C1382107|C0038960,9,19,suspensies
d6.u174,C1140609,50,71,insuline infuuspompen
d380.u33,C0030705,0,9,Patiënten
d380.u33,C0005910,10,25,met een gewicht
d120.u74,C0030705,4,13,patiënten
d120.u74,C0948380,18,48,uitgezaaide colorectale kanker
d120.u74,C0995188,55,64,cetuximab
d120.u74,C0392920|C0013216,92,105,chemotherapie
d120.u74,C0450442,130,135,agent
d395.u26,C0699967,18,26,TAXOTERE
d395.u26,C0006826|C1306459,42,48,kanker
d395.u26,C0087111,49,62,behandelingen
d395.u26,C0242656,123,139,ziekteprogressie
d395.u26,C0006826|C1306459,174,180,kanker
d395.u26,C0678222|C0006142,182,193,borstkanker
d395.u26,C0007131,195,223,niet-kleincellige longkanker
d395.u26,C0376358|C0600139,225,239,prostaatkanker
d395.u26,C0278701,241,259,maagadenocarcinoom
d395.u26,C0278996,263,282,hoofd- en nekkanker
d351.u33,C0376539,34,39,EPREX
d351.u33,C1287262|C0014772,83,105,rode bloedceltellingen
d214.u123,C0001675,26,35,volwassen
d214.u123,C0030705,36,45,patiënten
d214.u123,C0341697,50,73,verminderde nierfunctie
d311.u10,C0087111,0,11,Behandeling
d311.u10,C0006935,51,59,capsules
d311.u10,C0392806,118,132,heupvervanging
d311.u10,C0086511,162,176,knievervanging
d311.u10,C0087111,0,11,Behandeling
d311.u10,C0006935,51,59,capsules
d311.u10,C0392806,118,132,heupvervanging
d311.u10,C0086511,162,176,knievervanging
d16.u633,C0030705,0,9,Patiënten
d16.u633,C0221470,30,57,niet in staat om te slikken
d16.u633,C0754187,58,67,Agenerase
d16.u633,C0006935,68,76,capsules
d16.u633,C0754187,102,111,Agenerase
d16.u633,C0991536,112,127,orale oplossing
d16.u633,C0599685,193,217,antiretrovirale middelen
d312.u268,C0074710,6,17,Pramipexole
d312.u268,C0006147|C1623040,42,60,borstvoeding geeft
d470.u409,C0087111,0,11,Behandeling
d470.u409,C0019169,42,59,hepatitis B virus
d470.u409,C0460148|C1268086,66,73,lichaam
d198.u23,C0288171,7,17,Irbesartan
d198.u23,C0288171,7,17,Irbesartan
d73.u264,C1160749,28,39,Cholestagel
d73.u264,C0039225,45,54,tabletten
d73.u264,C0039225,100,109,tabletten
d73.u265,C0031831,3,7,arts
d73.u265,C0039225,36,45,tabletten
d430.u20,C2930530,20,28,Valdoxan
d430.u20,C0008972,48,55,studies
d430.u20,C2930530,20,28,Valdoxan
d430.u20,C0008972,48,55,studies
d265.u55,C0939393,0,9,NeuroBloc
d265.u55,C0037473|C0037570,43,49,sodium
d265.u333,C0031831,117,121,arts
d265.u333,C0021485|C1533685,157,166,injecties
d265.u333,C0939393,171,180,NeuroBloc
d265.u336,C0031831,3,7,arts
d265.u336,C0026845,31,38,spieren
d265.u336,C0939393,39,48,NeuroBloc
d265.u336,C0026845,135,142,spieren
d121.u438,C1136220|C0150600,26,39,aanbevelingen
d121.u438,C0150773,45,49,huid
d121.u438,C0150240,53,67,voetverzorging
d121.u438,C0031831,98,102,arts
d121.u438,C0028661,106,121,verpleegkundige
d220.u639,C0302085,7,37,productie van rode bloedcellen
d220.u639,C0015672,81,93,vermoeidheid
d220.u639,C0013404,97,111,kortademigheid
d14.u526,C1101146,0,6,Aerius
d14.u526,C1273643,12,33,filmomhulde tabletten
d14.u526,C1319688,64,72,blisters
d14.u526,C0039225,146,155,tabletten
d322.u36,C0041755|C0559546|C0877248,23,35,bijwerkingen
d322.u36,C0015967|C0424755,41,47,koorts
d322.u36,C0003123,49,57,anorexia
d322.u36,C0426579|C1971624,59,78,verlies van eetlust
d322.u36,C0042963,81,87,braken
d322.u36,C0011991,89,96,diarree
d322.u36,C0022107,98,113,prikkelbaarheid
d322.u36,C2830004|C0013144,115,127,slaperigheid
d322.u36,C2830004|C0013144,129,139,slaapzucht
d322.u36,C0239154,175,194,hooggepitcht huilen
d322.u36,C0029882|C2827407,220,232,otitis media
d322.u36,C2827407|C0029882,234,260,infectie van het middenoor
d157.u267,C0559546|C0877248|C0041755,0,12,Bijwerkingen
d157.u267,C0559546|C0877248|C0041755,13,25,Bijwerkingen
d157.u267,C0700287,26,32,gemeld
d157.u267,C0460002,96,109,orgaansysteem
d129.u314,C0332157,25,38,blootstelling
d209.u598,C0037633|C0525069,3,11,solution
d477.u484,C0257685,0,12,Zoledronzuur
d477.u484,C0439861,38,45,stoffen
d477.u484,C0012544,50,63,bisfosfonaten
d270.u663,C0027361,43,50,persoon
d406.u78,C0030705,4,13,patiënten
d406.u78,C0549473|C0007115,18,35,schildklierkanker
d406.u78,C0027651,82,87,tumor
d406.u78,C0018270,88,93,groei
d406.u78,C0700287,94,100,gemeld
d406.u78,C0949878,113,123,stopzetten
d406.u78,C0040135,128,147,schildklierhormonen
d406.u78,C0430022,153,177,diagnostische procedures
d406.u78,C0586553,233,277,verhoging van schildklierstimulerend hormoon
d406.u78,C0040160,279,282,TSH
d144.u226,C0003062,0,4,Dier
d144.u226,C0035150,5,18,voortplanting
d144.u226,C0008972,19,26,studies
d144.u226,C1455035,43,52,degarelix
d144.u226,C0021359|C0678108,53,69,onvruchtbaarheid
d144.u226,C0024554,87,97,mannelijke
d144.u226,C0003062,98,104,dieren
d31.u241,C0063041,0,11,Leflunomide
d31.u241,C0599779,52,64,diermodellen
d31.u241,C0004364,69,87,auto-immuunziekten
d31.u241,C0242656,132,148,ziekteprogressie
d340.u87,C1533734,64,74,toediening
d287.u253,C0559546|C0877248|C0041755,12,31,ongewenste effecten
d287.u253,C0008976,57,74,klinische proeven
d417.u570,C0041755|C0559546,77,89,bijwerkingen
d417.u570,C0939514,94,102,Trizivir
d417.u570,C0336779,136,144,machines
d241.u396,C0013227|C0456386,5,15,medicijnen
d241.u396,C0087086|C0302148,44,57,bloedstolsels
d203.u137,C0549206|C0032961,6,13,zwanger
d203.u137,C0549206|C0032961,37,44,zwanger
d203.u137,C0031831,76,80,arts
d203.u137,C0031323,87,96,apotheker
d203.u137,C1174747,107,114,Iscover
d798.u294,C0003062,0,4,Dier
d798.u294,C0005910,5,12,Gewicht
d798.u294,C0012984,14,20,Honden
d798.u294,C0007450,24,30,Katten
d244.u101,C0202159,4,15,PTH-niveaus
d244.u101,C0030705,57,66,patiënten
d244.u101,C0332293,71,91,behandeld worden met
d244.u101,C0042866,133,143,vitamine D
d244.u101,C0038323,144,152,sterolen
d244.u101,C0558681,180,203,therapie gestopt worden
d150.u424,C0016658,0,15,Gebroken botten
d150.u424,C0019552,42,46,heup
d150.u424,C1280065|C0037949|C1267072,48,59,wervelkolom
d150.u424,C1283836|C1322271|C0043262,64,68,pols
d150.u424,C0030193,95,99,pijn
d150.u424,C0033213,134,143,problemen
d150.u424,C0231478,154,169,gebogen houding
d150.u424,C1532642,172,184,weduwebochel
d150.u424,C0425245,202,212,mobiliteit
d48.u728,C1568876,5,14,Baraclude
d48.u728,C0031831,25,29,arts
d407.u590,C2370090,0,6,TOVIAZ
d407.u590,C0991507,12,43,tabletten met verlengde afgifte
d817.u261,C0023693,59,64,licht
d817.u261,C0002367,72,81,aluminium
d817.u261,C0179196,96,101,zakje
d801.u102,C0949665,24,40,fluoroquinolonen
d801.u102,C0087111,63,74,behandeling
d801.u102,C0003232,198,209,antibiotica
d96.u265,C0031831,31,35,arts
d96.u265,C0031831,39,45,dokter
d96.u265,C0087111,52,63,behandeling
d96.u265,C0006826|C1306459,68,74,kanker
d96.u265,C0007806,105,124,ruggenmergvloeistof
d96.u265,C0024090,128,135,lumbale
d47.u82,C0673967,0,5,AZOPT
d47.u82,C0038760,13,24,sulfonamide
d47.u82,C0243077,25,34,inhibitor
d47.u82,C0007028,39,58,carbonzuuranhydrase
d415.u260,C1096917,39,47,TRISENOX
d415.u260,C0023487,62,65,APL
d415.u260,C0040715,95,121,chromosomale translocaties
d239.u138,C0596473,23,38,vroege detectie
d239.u138,C0023524,43,46,PML
d239.u138,C1314901,68,76,MabThera
d239.u138,C0087111,77,85,therapie
d427.u28,C0008972|C0008976,3,9,studie
d427.u28,C0671970,66,78,capecitabine
d427.u28,C0671970,91,103,capecitabine
d307.u305,C1565489,55,73,nierinsufficiëntie
d307.u305,C0030705,109,118,patiënten
d307.u305,C1565489,139,157,nierinsufficiëntie
d307.u305,C0022661,183,204,eindstadium nierfalen
d307.u305,C0011946,208,215,dialyse
d307.u305,C0031327,222,237,farmacokinetiek
d307.u305,C1956497,242,253,laropiprant
d307.u305,C0008976|C0008972,291,297,studie
d156.u260,C0013227|C0456386,62,72,medicijnen
d156.u260,C0023884|C1278929,80,85,lever
d93.u292,C0013227|C0456386,13,23,medicijnen
d93.u292,C0041755|C0559546|C0877248,37,49,bijwerkingen
d164.u112,C0019080,18,28,bloedingen
d164.u112,C0151699,35,57,intracraniële bloeding
d164.u112,C0576995,59,71,keelbloeding
d164.u112,C0236178,82,101,abdominale bloeding
d164.u112,C0543467,102,111,Chirurgie
d257.u33,C1614702,0,9,Naglazyme
d257.u33,C0027361,39,45,mensen
d257.u33,C0013182|C0020517,59,71,overgevoelig
d257.u33,C0013182|C0020517,73,83,allergisch
d257.u33,C1615657,95,105,galsulfase
d257.u33,C0729650,127,139,ingrediënten
