id,text
d11921942.u1,Tandgezondheid van groepen met risico in Rotterdam en Amsterdam.
d17966325.u1,Dierenwelzijnsnormen voor de zuivelindustrie en Europese Unie consumentenproduct veiligheid regels.
d1476639.u1,Polio en postpoliosyndroom.
d13578026.u1,Histologische verschillen van snelle & langzame spiervezels in kakkerlakken.
d15909396.u1,Chronische depersonalisatie na cannabis gebruik.
d12452130.u1,Te jong voor een verdraaide pijnlijke rug.
d11836816.u1,Het effect van expertise op de interpretatie van tandheelkundige radiografische beelden.
d7054733.u1,Koolmonoxidevergiftiging.
d8065469.u1,Neurologische complicaties van HIV-infectie: diagnose en therapie.
d14343965.u1,STUDIE OVER DE RELATIE TUSSEN HET SOMATOTYPE EN DE RORSCHACHTEST.
d11837060.u1,"""Prothetische aandoening"" en tevredenheid met gebitsprotheses."
d818738.u1,Gezondheidszorg is ieders zaak (economische aspecten).
d2321238.u1,Marketing in dierenartspraktijken; een theoretisch raamwerk.
d10418080.u1,"Voeding van paarden: vertering, energie en eiwit beoordeling en voedingsnormen."
d8160174.u1,Druppels in de nek.
d6888594.u1,Tunga penetrans: een tropische verrassing in een Nederlandse teen.
d10850105.u1,Vijftig jaar plastische chirurgie in Nederland. VI. Microchirurgie.
d15301391.u1,Genetisch onderzoek met opgeslagen menselijk weefsel: een coderingsprocedure met optimaal gebruik van informatie en bescherming van privacy.
d6483049.u1,Adjuvante chemotherapie bij borstcarcinoom.
d5332789.u1,Projectielen in ivoor.
d6044047.u1,De diagnose van cysticercose bij de mens.
d12224478.u1,Mogelijkheden en beperkingen van genetisch onderzoek; een adviserend rapport van de Adviesraad voor Gezondheidsonderzoek.
d17515182.u1,Het voordeel van kostprijsbepaling II.
d6089008.u1,Serodiagnose van kinkhoest.
d4863777.u1,"75 jaar infant sterfte, 1892-1967."
d14261943.u1,BIJNIER EN INFECTIE.
d4569839.u1,Geneesmiddelencombinaties; haalbaarheden en beperkingen.
d13309487.u1,Dubbele baarmoeder met atypische opening van één helft in de vagina.
d1407130.u1,Kan het risico op atriumfibrilleren als gevolg van longembolie worden geminimaliseerd door toevoeging van een plaatjesaggregatieremmer aan een orale anticoagulans?.
d12448968.u1,Toename van de resistentie tegen fusidinezuur onder Staphylococcus aureus-isolaten van patiënten opgenomen met atopische dermatitis.
d1944652.u1,De 'Phadiatop Paediatric': een nuttige in-vitrotest op een atopische immuunrespons bij zuigelingen en jonge kinderen.
d295428.u1,Micro-organismen en parodontale achteruitgang.
d11257810.u1,"Chirurgie voor een recent symptomatische ernstige carotisstenose, geïndiceerd of niet? Klinische toepassing van 'evidence-based' geneeskunde."
d5362037.u1,Classificatie van blaastumoren en behandeling van oppervlakkige infiltrerende tumoren.
d431744.u1,De langetermijn prognostische betekenis van complicaties tijdens de herstelfase van acuut hartinfarct.
d2933851.u1,Kinderopvang in het Joseph Huis.
d14161728.u1,PSEUDOREUMATISCHE COXITIS.
d6923657.u1,Professionele structuur van verpleging in het buitenland.
d6955619.u1,"""Articulitis"" of gewoon noodzaak?."
d5947216.u1,Leverbeschadiging veroorzaakt door carbamazepine.
d14983578.u1,Voorkomen van langdurige antibioticatherapie door actieve implementatie van switchrichtlijnen.
d6910299.u1,De betekenis van Dwyer's spondylodesis methode in de behandeling van ernstige wervelkolomdeformiteiten.
d6922644.u1,De Ondernemingsraad in openbare gezondheidszorg. Heeft dit instituut nog wel zin?.
d3148213.u1,Standaardisatie en verpleegkundige diagnose.
d14293918.u1,ROTATIO DENTIS.
d12092306.u1,Parinaud's syndroom als een teken van acute obstructieve hydrocephalus: herstel na acute ventriculostomie.
d4487112.u1,Onderzoek 'Continuïteit van Zorg'.
d9173302.u1,Endoscopische retroperitoneale adrenalectomie: een chirurgische verbetering.
d11534379.u1,"Aneurysma van de V. magna cerebri (ader van Galen), een oorzaak van congestief hartfalen bij vijf neonaten."
d10028147.u1,Wie inspecteert de tuchtcommissie?.
d12838755.u1,Het dopingonderzoek bij paarden en de rol van de behandelende dierenarts.
d5195259.u1,"Gezondheid, ziekte, ziek-verlof, afwezigheid, werk. X."
d8684500.u1,Longinfectie veroorzaakt door Coccidioides immitis.
d8848063.u1,Leidt het afvlakken van de schedel tot blijvende gevolgen voor de hersenen ontwikkeling?.
d17263025.u1,Nieuw afgestudeerde dierenartsen.
d1214916.u1,Reflux-gastritis.
d532318.u1,Metabolisme van nitromethaqualon.
d12291420.u1,"Condoom gebruik onder heteroseksuelen: een vergelijking van de theorie van gepland gedrag, het gezondheids overtuiging model en beschermings motivatie theorie."
d15717445.u1,Lijden van het leven?.
d9221619.u1,"Jeugdhormonen, werkelijkheid of mythe?."
d5664972.u1,Huidige visies op de werking van digitalisglycosiden op moleculair niveau.
d2046796.u1,Beheer bij een aanval van apneu bij een pasgeboren baby.
d15301394.u1,"Diabetes mellitus, maar welk type?."
