id,text
d220.u639,"Als de productie van rode bloedcellen verminderd is, kunt u symptomen krijgen van vermoeidheid of kortademigheid.

"
d14.u526,"Aerius 5 mg filmomhulde tabletten zijn verpakt in eenheidsdosis blisters in verpakkingen van 1, 2, 3, 5, 7, 10, 14 , 15, 20, 21, 30, 50, 90 of 100 tabletten.

"
d322.u36,"Andere vaak voorkomende bijwerkingen zijn koorts, anorexia (verlies van eetlust), braken, diarree, prikkelbaarheid, somnolentie (slaperigheid), huilen (inclusief ongebruikelijk hoog huilen en langdurig huilen) en otitis media (infectie van het middenoor).

"
d157.u267,"Bijwerkingen Bijwerkingen gerapporteerd als meer dan een geïsoleerd geval worden hieronder vermeld, per systeemorgaan klasse en op frequentie.

"
d129.u314,"Bij meervoudige dosering nam blootstelling toe met een accumulatiefactor van 1,3 tot 2,3.

"
d209.u598,"De oplossing is lichtgeel tot goudkleurig.

"
d477.u484,"Zoledroninezuur is lid van een groep van stoffen genaamd bisfosfonaten.

"
d270.u663,"NovoMix 50 is uitsluitend bedoeld voor gebruik door één person.

"
d406.u78,"Bij patiënten met schildklierkanker zijn verschillende gevallen van gestimuleerde tumor groei gerapporteerd] tijdens onttrekking van schildklierhormonen voor diagnostische procedures die zijn toegeschreven aan de daarmee gepaard gaande verlengde verhoging van schildklierstimulerend hormoon (TSH) niveaus.

"
d144.u226,"Dier reproductie studies toonden aan dat degarelix onvruchtbaarheid veroorzaakte bij mannelijk dieren.

"
d31.u241,"Leflunomide vertoont de beste beschermende effecten op diermodellen van auto-immuunziekten wanneer het wordt toegediend in de vroege fase van de ziekteprogressie .

"
d340.u87,"Dergelijke omstandigheden moeten worden gecorrigeerd vóór de administratie van Rasilez HCT.

"
d287.u253,"De volgende ongewenste effecten zijn waargenomen tijdens klinische onderzoeken:

"
d417.u570,"U moet echter rekening houden met de gezondheidstoestand en de mogelijke bijwerkingen van Trizivir voordat u overweegt auto te rijden of machines te gebruiken.

"
d241.u396,"Deze geneesmiddelen helpen bloedstolsels op te lossen.

"
d203.u137,"Als u zwanger bent of vermoedt dat u zwanger bent, moet u dit aan uw arts of uw [[apotheker][C0031323] vertellen. ] voordat u Iscover inneemt.

"
d798.u294,"Dier Gewicht (Honden en Katten) 2,5 kg 5 kg 10 kg 20 kg 40 kg 60 kg

"
d244.u101,"Als PTH-waarden dalen tot onder het aanbevolen streefbereik bij patiënten behandeld met Mimpara, de dosis Mimpara en/of vitamine D sterolen moeten worden verminderd of therapie stopgezet.

"
d150.u424,"Gebroken botten komen meestal voor ter hoogte van heup, wervelkolom, of pols en kunnen leiden niet alleen tot pijn maar ook tot aanzienlijke problemen zoals gebogen houding ('bult van de weduwe') en verlies van mobiliteit.

"
d48.u728,"Neem Baraclude zolang als uw arts u dat heeft verteld.

"
d407.u590,"TOVIAZ 4 mg tabletten met verlengde afgifte

"
d817.u261,"Het apparaat is steriel en wordt geleverd in een verzegelde, licht-bestendige, aluminium folielaminaat zakje, verpakt in een individuele kartonnen doos.

"
d801.u102,"Het is verstandig om de fluoroquinolonen te reserveren voor de behandeling van klinische aandoeningen die slecht hebben gereageerd, of naar verwachting slecht zullen reageren, op andere klassen van antibiotica.

"
d96.u265,"Een gekwalificeerde en ervaren arts of arts in de behandeling van kanker zal DepoCyte injecteren in de wervelkolom vloeistof of hout zak.

"
d47.u82,"AZOPT is een sulfonamide remmer van koolzuuranhydrase en wordt, hoewel topisch toegediend, systemisch geabsorbeerd.

"
d415.u260,"Er is geen ervaring met het effect van TRISENOX op de variant APL die de t(11; 17) en t(5; 17) [[chromosomale translocaties][C0040715] bevat ].

"
d239.u138,"Het blijft onbekend of vroege detectie van PML en opschorting van MabThera therapie tot vergelijkbare stabilisatie of een verbeterd resultaat kunnen leiden.

"
d427.u28,"In het onderzoek werd de werkzaamheid van Tyverb in combinatie met capecitabine vergeleken met die van capecitabine alleen.

"
d307.u305,"Omdat er geen effect werd waargenomen bij ernstige nierinsufficiëntie, wordt er geen effect verwacht bij patiënten met milde en matige nierinsufficiëntie; de effecten van nierfalen en dialyse op laropiprant farmacokinetiek kunnen echter niet worden afgeleid uit deze  studie.

"
d156.u260,"Vermijd binnen 24 uur nadat u Gliolan heeft ingenomen alle andere geneesmiddelen die schadelijk kunnen zijn voor de lever.

"
d93.u292,"Zoals alle geneesmiddelen kan DaTSCAN bijwerkingen veroorzaken, hoewel niet iedereen deze krijgt.

"
d164.u112,"Levensbedreigende bloedingen zoals intracraniale bloeding, keelbloeding, ernstige buikbloeding Chirurgie

"
d257.u33,"Naglazyme mag niet worden gebruikt bij mensen die mogelijk overgevoelig (allergisch) zijn voor galsulfase  of een van de andere ingrediënten.
"
