id,CUI,from,to,value
d15301391.u1,C0243064,0,19,Genetisch onderzoek
d15301391.u1,C0440744,35,52,menselijk weefsel
d6483049.u1,C0085533,0,23,Adjuvante chemotherapie
d6483049.u1,C0678222,28,42,borstcarcinoom
d6483049.u1,C0085533,0,23,Adjuvante chemotherapie
d6483049.u1,C0678222,28,42,borstcarcinoom
d6044047.u1,C0011900,3,11,diagnose
d6044047.u1,C0010678,16,28,cysticercose
d6044047.u1,C0086418,33,36,man
d12224478.u1,C0243064,33,52,genetisch onderzoek
d12224478.u1,C0700287,65,72,rapport
d12224478.u1,C0242481|C0035168,107,116,Onderzoek
d12224478.u1,C0243064,33,52,genetisch onderzoek
d12224478.u1,C0700287,65,72,rapport
d12224478.u1,C0242481|C0035168,107,116,Onderzoek
d6089008.u1,C0600324,0,12,Serodiagnose
d6089008.u1,C0043167|C0043168,17,26,kinkhoest
d4863777.u1,C0021270,8,14,kinder
d14261943.u1,C0001625|C1268989,0,7,BIJnier
d14261943.u1,C0021311|C0009450,11,19,INFECTIE
d4569839.u1,C0013162,0,25,Geneesmiddelencombinaties
d13309487.u1,C0152240,0,18,Dubbele baarmoeder
d13309487.u1,C1278985|C0042232,61,67,vagina
d1407130.u1,C0004238,18,35,atriumfibrilleren
d1407130.u1,C0034065,51,62,longembolie
d1407130.u1,C0032177,110,139,bloedplaatjesaggregatieremmer
d1407130.u1,C0003280,154,167,anticoagulans
d12448968.u1,C0016875,33,45,fusidinezuur
d12448968.u1,C0038172,50,71,Staphylococcus aureus
d12448968.u1,C0030705,85,94,patiënten
d12448968.u1,C0184666,95,105,toegegeven
d12448968.u1,C0011615,110,130,atopische dermatitis
d1944652.u1,C0201271,39,52,in-vitro test
d1944652.u1,C0392707,60,69,atopische
d1944652.u1,C0301872,70,83,immuunrespons
d1944652.u1,C0021270,88,99,zuigelingen
d1944652.u1,C0008059,109,117,kinderen
d295428.u1,C0445623,0,16,Micro-organismen
d11257810.u1,C0543467,0,8,Operatie
d11257810.u1,C0007282,49,68,halsslagaderstenose
d11257810.u1,C1444656,70,80,aangegeven
d5362037.u1,C0005695,18,30,blaastumoren
d5362037.u1,C0087111,34,45,behandeling
d5362037.u1,C0332448,64,77,infiltrerende
d5362037.u1,C0027651,78,85,tumoren
d431744.u1,C1171258|C0009566,48,60,complicaties
d431744.u1,C0155626,88,105,acuut hartinfarct
d2933851.u1,C0011017,0,9,Dagopvang
d2933851.u1,C2003847,23,27,Huis
d14161728.u1,C0035435,6,17,RHEUMATISCH
d14161728.u1,C0263776,18,25,COXITIS
d14161728.u1,C0035435,6,17,RHEUMATISCH
d14161728.u1,C0263776,18,25,COXITIS
d14161728.u1,C0035435,6,17,RHEUMATISCH
d14161728.u1,C0263776,18,25,COXITIS
d5947216.u1,C0151763,0,11,Leverschade
d5947216.u1,C0006949,29,42,carbamazepine
d14983578.u1,C0338237,25,44,antibioticatherapie
d6910299.u1,C0936239|C1704329|C0037935,20,32,spondylodese
d6910299.u1,C0087111,58,69,behandeling
d6910299.u1,C0575157,83,103,spinale misvormingen
d6922644.u1,C0699943,34,38,heal
d6922644.u1,C0086388,23,43,openbare healde zorg
d3148213.u1,C0038136,0,15,Standaardisatie
d3148213.u1,C0028684,19,43,verpleegkundige diagnose
d14293918.u1,C0266071,0,14,ROTATIO DENTIS
d12092306.u1,C0152222,0,21,Syndroom van Parinaud
d12092306.u1,C0311392,30,35,teken
d12092306.u1,C0549423,46,72,obstructieve hydrocephalus
d12092306.u1,C0042517,91,107,ventriculostomie
d4487112.u1,C0035168,0,9,Onderzoek
d4487112.u1,C0009853,11,35,Continuïteit van de zorg
d9173302.u1,C0521267,0,13,Endoscopische
d9173302.u1,C0035359,13,29,retroperitoneale
d9173302.u1,C0543467,50,62,chirurgische
d11534379.u1,C0002940,0,9,Aneurysma
d11534379.u1,C0042448,17,33,V. magna cerebri
d11534379.u1,C0042448,35,49,ader van Galen
d11534379.u1,C0018802,68,88,congestief hartfalen
d11534379.u1,C0021289,98,106,neonaten
d11534379.u1,C0002940,0,9,Aneurysma
d11534379.u1,C0042448,17,33,V. magna cerebri
d11534379.u1,C0042448,35,49,ader van Galen
d11534379.u1,C0018802,68,88,congestief hartfalen
d11534379.u1,C0021289,98,106,neonaten
d12838755.u1,C1261322,18,27,onderzoek
d12838755.u1,C0019944|C0242616|C1265527,32,39,paarden
d12838755.u1,C0242856,70,80,dierenarts
d5195259.u1,C0221423,12,18,ziekte
d5195259.u1,C0221423,20,24,ziek
d8684500.u1,C0876973,0,12,Longinfectie
d8684500.u1,C0009184,30,50,Coccidioides immitis
d8848063.u1,C0037303,27,34,schedel
d8848063.u1,C0243088|C0543419,45,53,gevolgen
d8848063.u1,C1269537|C0006104,59,67,hersenen
d8848063.u1,C0243107,68,80,ontwikkeling
d17263025.u1,C0588053,8,20,afgestudeerd
d17263025.u1,C0242856,21,33,dierenartsen
d1214916.u1,C0267158,0,16,Reflux-gastritis
d532318.u1,C0025519,0,11,Metabolisme
d532318.u1,C0068850,16,32,nitromethaqualon
d12291420.u1,C0009653,0,7,Condoom
d12291420.u1,C1527360,22,37,heteroseksuelen
d12291420.u1,C0032074,75,82,gepland
d12291420.u1,C0814098,95,117,gezondheidsovertuiging
d12291420.u1,C0026605,139,149, motivatie
d15717445.u1,C0683278,0,6,Lijden
d9221619.u1,C0022439,0,13,Jeugdhormonen
d5664972.u1,C0012253,40,60,digitalis glycosiden
d2046796.u1,C0376636,0,6,Beheer
d2046796.u1,C1304680,14,20,aanval
d2046796.u1,C0003578,25,30,apneu
d2046796.u1,C0021289,38,53,pasgeboren baby
d15301394.u1,C0011849,0,17,Diabetes mellitus
