id,CUI,from,to,value
d462.u96,C0030705,77,86,patiënten
d462.u96,C0037537,91,105,natriumoxybaat
d232.u151,C0029944,11,20,overdosis
d232.u151,C0021888,36,54,intraoculaire druk
d232.u151,C0332293,79,88,behandeld
d232.u151,C1320929,135,151,behandelend arts
d101.u51,C0030705,45,54,patiënten
d101.u51,C0221423,76,82,ziekte
d101.u51,C0038351|C1278920,90,94,maag
d101.u51,C0021853|C1318303,98,102,darm
d101.u51,C0015967,121,127,koorts
d61.u586,C0019588,10,19,histamine
d61.u586,C0700287,47,60,gerapporteerd
d61.u586,C0700287,71,80,rapporten
d61.u586,C0015230,85,96,huiduitslag
d61.u586,C0033774,162,166,jeuk
d61.u586,C0549386,168,185,gevoel van warmte
d61.u586,C0013404,190,210,moeite met ademhalen
d179.u31,C0008972,36,43,studies
d179.u31,C0018270,88,93,groei
d179.u31,C0087111,99,110,behandeling
d354.u223,C0032285,0,14,Longontsteking
d354.u223,C0149725,17,40,lagere luchtweginfectie
d354.u223,C0019360,42,55,Herpes Zoster
d354.u223,C0019348,57,71,Herpes Simplex
d354.u223,C0042029 ,73,89,urineweginfectie
d354.u223,C0041912,91,126,infectie van de bovenste luchtwegen
d354.u223,C0037199,128,137,sinusitis
d354.u223,C0006849,139,156,orale candidiasis
d354.u223,C0877048,158,180,orale schimmelinfectie
d354.u602,C0031831,3,7,arts
d354.u602,C1135145,21,29,Revlimid
d354.u602,C0087111,46,57,behandeling
d354.u602,C0018941,103,117,bloedonderzoek
d354.u602,C1142435,137,154,algemene toestand
d354.u602,C1135145,198,206,Revlimid
d321.u167,C0021027,22,37,immunoglobuline
d321.u167,C0021440,43,66,intraveneuze toediening
d321.u167,C0559546,68,80,bijwerkingen
d321.u167,C0085593,87,96,rillingen
d321.u167,C0018681,98,107,hoofdpijn
d321.u167,C0015967|C0424755,110,116,koorts
d321.u167,C0042963,118,124,braken
d321.u167,C1527304|C0020517,126,146,allergische reacties
d321.u167,C0027497,148,161,misselijkheid
d321.u167,C0003862,163,172,artralgie
d321.u167,C0020649,173,187,lage bloeddruk
d321.u167,C0024031,198,210,lage rugpijn
d409.u75,C1273643,5,23,filmomhulde tablet
d409.u75,C0252643,38,46,bosentan
d868.u64,C0052976,15,30,bariumhydroxide
d868.u64,C0044729,71,83,Verbinding A
d868.u64,C0074716,103,113,natronkalk
d868.u64,C0052976,15,30,bariumhydroxide
d868.u64,C0044729,71,83,Verbinding A
d868.u64,C0074716,103,113,natronkalk
d227.u82,C0021641|C1579433,15,24,insulines
d227.u82,C0001792|C1999167,30,37,ouderen
d227.u82,C0030705,38,47,patiënten
d227.u82,C0030705,51,60,patiënten
d227.u82,C0341697,65,69,nier
d227.u82,C0948807,73,93,leverfunctiestoornis
d227.u82,C0202048,95,112,glucosemonitoring
d227.u82,C0537270,152,168,insuline detemir
d227.u82,C0237401|C0027361,204,215,individueel
d227.u556,C1314782,0,7,Levemir
d227.u556,C1314782,0,7,Levemir
d18.u23,C0008972,53,60,studies
d110.u11,C1532338,0,31,Percutane coronaire interventie
d110.u11,C0543467,39,47,operatie
d110.u11,C0242231,70,94,vernauwde kransslagaders
d110.u11,C0005847|C1283786,96,106,bloedvaten
d100.u191,C0031327,3,18,farmacokinetiek
d100.u191,C0389169,23,32,doripenem
d100.u191,C0021440,88,110,intraveneus toegediend
d347.u117,C0008972,4,10,studie
d347.u117,C1997894|C0020155,23,36,vrijwilligers
d347.u117,C0020651,50,75,orthostatische hypotensie
d347.u117,C2317227 ,118,155,toegediend als een intraveneuze bolus
d794.u59,C0007452,0,6,Runder
d794.u59,C1123019|C0036945,8,15,Schapen
d6.u174,C1579433|C0021641,0,8,Insuline
d6.u174,C1382107|C0038960,9,19,suspensies
d6.u174,C1140609,50,72,insuline-infusiepompen
d380.u33,C0030705,0,9,Patiënten
d380.u33,C0005910,10,25,met een gewicht
d120.u74,C0030705,4,13,patiënten
d120.u74,C0948380,18,52,gemetastaseerde colorectale kanker
d120.u74,C0995188,59,68,cetuximab
d120.u74,C0392920|C0013216,96,109,chemotherapie
d120.u74,C0450442,128,135, middel
d395.u26,C0699967,18,26,TAXOTERE
d395.u26,C0006826|C1306459,42,48,kanker
d395.u26,C0087111,49,62,behandelingen
d395.u26,C0242656,127,143,ziekteprogressie
d395.u26,C0006826|C1306459,183,189,kanker
d395.u26,C0678222|C0006142,191,202,borstkanker
d395.u26,C0007131,204,232,niet-kleincellige longkanker
d395.u26,C0376358| C0600139,234,248,prostaatkanker
d395.u26,C0278701,250,268,maagadenocarcinoom
d395.u26,C0278996,272,288,hoofd-halskanker
d351.u33,C0376539,32,37,EPREX
d351.u33,C1287262|C0014772,79,102,aantal rode bloedcellen
d214.u123,C0001675,23,34,volwassenen
d214.u123,C0030705,35,44,patiënten
d214.u123,C0341697,49,72,verminderde nierfunctie
d311.u10,C0087111,0,11,Behandeling
d311.u10,C0006935,44,52,capsules
d311.u10,C0392806,116,128,heupprothese
d311.u10,C0086511,154,168,knievervanging
d311.u10,C0087111,0,11,Behandeling
d311.u10,C0006935,44,52,capsules
d311.u10,C0392806,116,128,heupprothese
d311.u10,C0086511,154,168,knievervanging
d16.u633,C0030705,0,9,Patiënten
d16.u633,C0221470,30,57,niet in staat om te slikken
d16.u633,C0754187,58,67,Agenerase
d16.u633,C0006935,68,76,capsules
d16.u633,C0754187 ,102,111,Agenerase
d16.u633,C0991536,112,117,drank
d16.u633,C0599685,180,204,antiretrovirale middelen
d312.u268,C0074710,6,16,Pramipexol
d312.u268,C0006147|C1623040,43,55,borstvoeding
d470.u409,C0087111,0,11,Behandeling
d470.u409,C0019169,42,59,hepatitis B-virus
d470.u409,C0460148|C1268086,66,73,lichaam
d198.u23,C0288171,7,17,Irbesartan
d198.u23,C0288171,7,17,Irbesartan
d73.u264,C1160749,31,42,Cholestagel
d73.u264,C0039225,63,72,tabletten
d73.u264,C0039225,95,104,tabletten
d73.u265,C0031831,3,7,arts
d73.u265,C0039225,36,45,tabletten
d430.u20,C2930530,20,28,Valdoxan
d430.u20,C0008972,51,58,studies
d430.u20,C2930530,20,28,Valdoxan
d430.u20,C0008972,51,58,studies
d265.u55,C0939393,0,9,NeuroBloc
d265.u55,C0037473|C0037570,44,51,natrium
d265.u333,C0031831,118,122,arts
d265.u333,C0021485|C1533685,148,157,injecties
d265.u333,C0939393,162,172,NeuroBloc 
d265.u336,C0031831,3,7,arts
d265.u336,C0026845,31,38,spieren
d265.u336,C0939393,39,48,NeuroBloc
d121.u438,C1136220|C0150600,23,36,aanbevelingen
d121.u438,C0150773,55,59,huid
d121.u438,C0150240,63,77,voetverzorging
d121.u438,C0031831,98,102,arts
d121.u438,C0028661,106,121,verpleegkundige
d220.u639,C0302085,7,37,productie van rode bloedcellen
d220.u639,C0015672,82,94,vermoeidheid
d220.u639,C0013404,98,112,kortademigheid
d14.u526,C1101146,0,6,Aerius
d14.u526,C1273643,12,33,filmomhulde tabletten
d14.u526,C1319688,64,72,blisters
d14.u526,C0039225,147,156,tabletten
d322.u36,C0041755|C0559546|C0877248,24,36,bijwerkingen
d322.u36,C0015967|C0424755,42,48,koorts
d322.u36,C0003123,50,58,anorexia
d322.u36,C0426579|C1971624,60,79,verlies van eetlust
d322.u36,C0042963,82,88,braken
d322.u36,C0011991,90,97,diarree
d322.u36,C0022107,99,114,prikkelbaarheid
d322.u36,C2830004|C0013144,116,127,somnolentie
d322.u36,C2830004|C0013144,129,141,slaperigheid
d322.u36,C0239154,177,188,hoog huilen
d322.u36,C0029882|C2827407,213,225,otitis media
d322.u36,C2827407|C0029882,227,253,infectie van het middenoor
d157.u267,C0559546|C0877248|C0041755,0,12,Bijwerkingen
d157.u267,C0559546|C0877248|C0041755,13,25,Bijwerkingen
d157.u267,C0700287,26,39,gerapporteerd
d157.u267,C0460002,104,117,systeemorgaan
d129.u314,C0332157,29,42,blootstelling
d209.u598,C0037633|C0525069,3,12,oplossing
d477.u484,C0257685,0,15,Zoledroninezuur
d477.u484,C0439861,41,48,stoffen
d477.u484,C0012544,57,70,bisfosfonaten
d270.u663,C0027361,56,62,person
d406.u78,C0030705,4,13,patiënten
d406.u78,C0549473|C0007115,18,35,schildklierkanker
d406.u78,C0027651,82,87,tumor
d406.u78,C0018270,88,93,groei
d406.u78,C0700287,94,107,gerapporteerd
d406.u78,C0949878,117,128,onttrekking
d406.u78,C0040135,133,152,schildklierhormonen
d406.u78,C0430022,158,182,diagnostische procedures
d406.u78,C0586553,246,290,verhoging van schildklierstimulerend hormoon
d406.u78,C0040160,292,295,TSH
d144.u226,C0003062,0,4,Dier
d144.u226,C0035150,5,16,reproductie
d144.u226,C0008972,17,24,studies
d144.u226,C1455035,41,50,degarelix
d144.u226,C0021359|C0678108,51,67,onvruchtbaarheid
d144.u226,C0024554,85,94,mannelijk
d144.u226,C0003062,95,101,dieren
d31.u241,C0063041,0,11,Leflunomide
d31.u241,C0599779,55,67,diermodellen
d31.u241,C0004364,72,90,auto-immuunziekten
d31.u241,C0242656,145,161,ziekteprogressie
d340.u87,C1533734,61,74,administratie
d287.u253,C0559546|C0877248|C0041755,12,31,ongewenste effecten
d287.u253,C0008976,57,78,klinische onderzoeken
d417.u570,C0041755|C0559546,73,85,bijwerkingen
d417.u570,C0939514,90,98,Trizivir
d417.u570,C0336779,137,145,machines
d241.u396,C0013227|C0456386,5,19,geneesmiddelen
d241.u396,C0087086|C0302148,27,40,bloedstolsels
d203.u137,C0549206|C0032961,6,13,zwanger
d203.u137,C0549206|C0032961,37,44,zwanger
d203.u137,C0031831,69,73,arts
d203.u137,C1174747,126,133,Iscover
d798.u294,C0003062,0,4,Dier
d798.u294,C0005910,5,12,Gewicht
d798.u294,C0012984,14,20,Honden
d798.u294,C0007450,24,30,Katten
d244.u101,C0202159,4,15,PTH-waarden
d244.u101,C0030705,64,73,patiënten
d244.u101,C0332293,74,87,behandeld met
d244.u101,C0042866 ,120,130,vitamine D
d244.u101,C0038323,131,139,sterolen
d244.u101,C0558681,168,186,therapie stopgezet
d150.u424,C0016658,0,15,Gebroken botten
d150.u424,C0019552,50,54,heup
d150.u424,C1280065|C0037949|C1267072,56,67,wervelkolom
d150.u424,C1283836|C1322271|C0043262,72,76,pols
d150.u424,C0030193,110,114,pijn
d150.u424,C0033213,141,150,problemen
d150.u424,C0231478,157,172,gebogen houding
d150.u424,C1532642,175,193,bult van de weduwe
d150.u424,C0425245,211,221,mobiliteit
d48.u728,C1568876,5,14,Baraclude
d48.u728,C0031831,29,33,arts
d407.u590,C2370090,0,6,TOVIAZ
d407.u590,C0991507,12,43,tabletten met verlengde afgifte
d817.u261,C0023693,61,66,licht
d817.u261,C0002367,79,88,aluminium
d817.u261,C0179196,103,108,zakje
d801.u102,C0949665,24,40,fluoroquinolonen
d801.u102,C0087111,63,74,behandeling
d801.u102,C0003232,198,209,antibiotica
d96.u265,C0031831,31,35,arts
d96.u265,C0031831,39,43,arts
d96.u265,C0087111,50,61,behandeling
d96.u265,C0006826|C1306459,66,72,kanker
d96.u265,C0007806,103,124,wervelkolom vloeistof
d96.u265,C0024090,128,132,hout
d47.u82,C0673967,0,5,AZOPT
d47.u82,C0038760,13,24,sulfonamide
d47.u82,C0243077,25,31,remmer
d47.u82,C0007028,36,53,koolzuuranhydrase
d415.u260,C1096917,39,47,TRISENOX
d415.u260,C0023487,62,65,APL
d239.u138,C0596473,23,38,vroege detectie
d239.u138,C0023524,43,46,PML
d239.u138,C1314901,66,74,MabThera
d239.u138,C0087111,75,83,therapie
d427.u28,C0008972|C0008976,7,16,onderzoek
d427.u28,C0671970,67,79,capecitabine
d427.u28,C0671970,103,115,capecitabine
d307.u305,C1565489,51,69,nierinsufficiëntie
d307.u305,C0030705,105,114,patiënten
d307.u305,C1565489,135,153,nierinsufficiëntie
d307.u305,C0022661,171,180,nierfalen
d307.u305,C0011946,184,191,dialyse
d307.u305,C1956497,195,206,laropiprant
d307.u305,C0031327,207,222,farmacokinetiek
d307.u305,C0008976|C0008972,267,274, studie
d156.u260,C0013227|C0456386,66,80,geneesmiddelen
d156.u260,C0023884|C1278929,116,121,lever
d93.u292,C0013227|C0456386,11,25,geneesmiddelen
d93.u292,C0041755|C0559546|C0877248,38,50,bijwerkingen
d164.u112,C0019080,18,28,bloedingen
d164.u112,C0151699,35,57,intracraniale bloeding
d164.u112,C0576995,59,71,keelbloeding
d164.u112,C0236178,82,94,buikbloeding
d164.u112,C0543467,95,104,Chirurgie
d257.u33,C1614702,0,9,Naglazyme
d257.u33,C0027361,39,45,mensen
d257.u33,C0013182|C0020517,59,71,overgevoelig
d257.u33,C0013182|C0020517,73,83,allergisch
d257.u33,C1615657,95,106,galsulfase 
d257.u33,C0729650,128,140,ingrediënten
